,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
348268,Security & Safety,O&M,Shared Services,Non-School,Unspecified,School Monitor/Security,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,SAFETY AND SECURITY,GENERAL FUND,Security Patrol ,n/a,,,SAFETY AND SECURITY,,SAFETY & SECURITY,,PROFESSIONAL-OTHER,914.22744,SECURITY SERVICES,,OPERATION AND MAINT OF PLANT
308993,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",Turnaround,,,,0.006465517241380001,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,194.682477388,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
47765,School Administration,Leadership,School Reported,School,Unspecified,Principal,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,PRINCIPAL,Support Services - Administration,ELEMENTARY PRINCIPAL K-8,,,Certificated Employees Salaries And Wages,SR PRINCIPALS,1.0,Office of the Principal Services*,,,125748.219852,,General,SCHOOL BASED MANAGEMENT
303833,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0.0,BASIC (FEFP K-12)             ,,,459.14,,GENERAL FUND                  ,
169726,School Administration,Leadership,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,OTHER SUPPLIES,,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,271.58,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
421309,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA E-TEACHING SHELTERED ENG,,PROFESSIONAL-INSTRUCTIONAL,461.11,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
378247,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,LIBRARY BOOKS,LIBRARY & MEDIA,LOCAL,,,,,,,,,"PURCHASED ASSETS, MINOR EQUIP & RENTAL",3000.24,INSTRUCTIONAL PROGRAMS,LOCAL FUND,
428789,Utilities,O&M,School on Central Budgets,Non-School,Poverty,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating,TELEPHONE/FACSIMILE SERVICES,GRANTS MANAGEMENT,FEDERAL GDPG FUND - FY ,(blank),n/a,,,FEDERAL PROGRAMS/EXTERNAL RESO,,"TITLE I, PART C - MIGRANT EDUC",,UNDESIGNATED,200.01,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
102559,Student Transportation,NO_LABEL,Shared Services,Non-School,NO_LABEL,Other,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Bus Driver,,,,Transportation,1.0,,,BUS DRIVER,37893.38,PUPIL TRANSPORTATION,General Fund,
215396,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"CLERICAL, SCHOOL ADMIN.",,,Salaries Or Wages For Support Personnel,School ,0.92,School Leadership,All Campus Payroll,ELEM/INTERMEDIATE ATTN CLERK,22961.1233298,PRE-K,General Operating Fund,REGULAR PAY
444623,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Custodian Asst I ,n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,290.39,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
93442,Enrichment,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TRANSPORTATION,BUS DRIVERS,REG",,,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Extracurricular Activities,Transportation Department,BUS DRIVER,2.23,Undistributed,General Operating Fund,WAITING TIME
248507,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,,,,,Regular Instruction,,,0.0,,,SUBSTITUTE TEACHER,224.9,Instruction - Regular,General Purpose School,
63231,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,SALARIES FOR OVERTIME,WAREHOUSE,INTERNAL SERVICE FUND,Warehouse Worker II ,n/a,,,WAREHOUSE OPERATIONS,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",2447.0016800000008,WAREHOUSE & DISTRIBUTION,,BUSINESS
151597,Student Assignment,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"CLERICAL, SCHOOL ADMIN.",,Undistributed,Salaries Or Wages For Support Personnel,School ,0.13,School Leadership,All Campus Payroll,REGISTRAR,2633.04628087,Undistributed,General Operating Fund,REGULAR PAY
141049,NO_LABEL,NO_LABEL,School Reported,School,NO_LABEL,Non-Position,NO_LABEL,NO_LABEL,PreK-12 Operating,CONSULTANT SERVICES,,ARRA - STIMULUS,(blank),Charter,,,,,TITLE I A - ARRA,,UNDESIGNATED,598.77,COMMUNITY SERVICE,,COMMUNITY SERVICES OPERATION
4078,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Non-Position,Contracted Services,Non PreK,PreK-12 Operating,Other Pupil Transportation Services,,Sport Oriented Activities,,,,Pupil Transportation *,,,Mixed Sports *,,,3082.92,,General,CITY:  EXTRA ACT/SCHOOLS
172868,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Secondary (High) ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,1953.25,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
192922,Food Services,O&M,School Reported,School,Unspecified,Coordinator/Manager,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ALL OTHER SUPPLEMENTS         ,,,"MANAGER III, FOOD SERVICE     ",,,,School ,,FOOD SERVICE                  ,,,300.19,,FOOD SERVICES                 ,
358584,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,EMPLOYEE BENEFITS,UNASSIGNED PERS/PAID LEAVES,GENERAL FUND,"Principal, Asst Middle Sch ",n/a,,,PERSONNEL-PAID LEAVE,,NON-PROJECT,,ADMINISTRATOR,,STAFF SERVICES,,CENTRAL
1839,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Instructional Improvement Services,,Support Services - Administration,,,,Professional And Technical Services *,,,Office Of The Superintendent Services*,,,-42240.26,,Special Trust, FOUND - NEW SCHOOLS
200339,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other Miscellaneous,,Fiscal Services,,,,Other Miscellaneous Expenditures *,,,Other Fiscal Services,,,750993.95,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I SES/PSC/CR/I
47086,Governance,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Extended Contracts,,,,,Regular Instruction,,District Wide Resources,0.0,,OFFICE OF THE SUPERINTENDENT,Career Ladder III/Ext Learning,1400.61,Instruction - Regular,General Purpose School,
136502,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,1.5299999999999998,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
379707,Professional Development,ISPD,School Reported,School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Other,,Support Services - Instructional Staff,,,,Food And Related Supplies And Materials *,,,Other Improvements Of Instruction Services *,,,-532.88,,Special Trust,PSP PROJECT/STARTING PT.
51179,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Classroom Supplies,,Community Services,,,,General Supplies *,,,Non-Public School Services *,,,-1072.54,,Title I - Disadvantaged Children/Targeted Assistance,ARRA - NONPUBLIC SET ASID
83851,Substitute Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Super Sub D/D ",n/a,,,DISTRICT WIDE ORGANIZATION UNI,,NON-PROJECT,,UNDESIGNATED,88.95,UNDESIGNATED,,UNDESIGNATED
71215,School Administration,NO_LABEL,School Reported,School,NO_LABEL,Vice Principal,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Assistant Principal-Middle/High,,,,,1.0,,,ASSISTANT PRINCIPAL ,95787.05,Misc,General Fund,
72262,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",BONUSES                       ,,,ENRICHMENT ASSISTANT          ,,,,CHARTER,,BASIC (FEFP K-12)             ,,,999.87,,CONVERSION CHARTER SCHOOLS    ,
291754,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,GENERAL FUND,Vehicle Service Tech II ,n/a,,,TRANSPORTATION,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",377.91,VEHICLE MAINTENANCE SERVICE,,STUDENT TRANSPORTATION
394703,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,GENERAL EDUCATION,LOCAL,IN SCHOOL SUSPEN COORD,,,,,1.0,,,,55292.14669400001,,,
35828,Aides Compensation,Instruction,School Reported,School,ELL,TA,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,,ITEMGD PRESCHOOL PROGRAM,Early Childhood Education ,Regular,,,,,ELPA - PRESCHOOL PROG,,PARAPROFESSIONAL,360.38,EARLY CHILDHOOD,,REGULAR INSTRUCTION
276754,Substitute Compensation,Instruction,School Reported,School,PreK,Substitute,Base Salary/Compensation,PreK,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,ITEMGD PRESCHOOL PROGRAM,"Teacher, Short Term Sub ",Regular,,,,0.00215517241379,ELPA - PRESCHOOL PROG,,PROFESSIONAL-INSTRUCTIONAL,54.98396923399999,EARLY CHILDHOOD,,REGULAR INSTRUCTION
277140,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Regular Instruction,,,0.0,,,SUBSTITUTE TEACHER,71.0599,Instruction - Regular,General Purpose School,
110117,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,,,,,Regular Instructional Support,,,0.0,,,SUBSTITUTE TEACHER,55.48,Support - Regular Instruction,General Purpose School,
334995,Teacher Compensation,Instruction,School Reported,School,PreK,Teacher,Base Salary/Compensation,PreK,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary ",Regular,,,,,TUITION BASED - ECE,,PROFESSIONAL-INSTRUCTIONAL,3045.80672,EARLY CHILDHOOD,,REGULAR INSTRUCTION
394259,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, REGULAR",,Basic Educational Services - District Objective ,Salaries And Wages For Teachers And Other Professi,School ,0.11,Instruction,All Campus Payroll,TEACHER BACHELOR,5699.34434391,Basic Educational Services,General Operating Fund,REGULAR PAY
131167,Utilities,O&M,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,COMMUNICATION                 ,,,,,,,School ,,OPERATION OF PLANT            ,,,3423.34,,GENERAL FUND                  ,SCHOOL OPERATING ACCOUNT      
400208,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,TEACHER LEARNING & LEADERSHIP,FEDERAL GDPG FUND - FY ,Teacher Secondary (Middle) ,n/a,,,TEACHER LEARNING & LEADERSHIP,,TITLE II-PART A-TEACHER QUALIT,,PROFESSIONAL-INSTRUCTIONAL,246.73088,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
433763,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Contracted Food Services,,Community Services,,,,Contracted Craft Or Trade Services *,,,Other Community Services *,,,-451.29,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I PARENT-PUBLI
187500,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Dispatch II ,n/a,,,GARAGE,,NON-PROJECT,,UNDESIGNATED,-981.76,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
444888,Professional Development,ISPD,School Reported,School,Gifted,Instructional Coach,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Facilitator, Elem Math/Sci ",Regular,,,,,STATE - GIFTED AND TALENTED,,PROFESSIONAL-INSTRUCTIONAL,456.44,GIFTED AND TALENTED,,REGULAR INSTRUCTION
293657,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,GENERAL EDUCATION,LOCAL,Teacher,,,,,1.0,,,,90247.37106639998,,,
212193,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,CLASSROOM TEACHER             ,,,"TEACHER, LANG ARTS-MIDDLE     ",,,,School ,0.0832991573034,EXCEPTIONAL                   ,,,6809.133469269998,,GENERAL FUND                  ,
441114,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",Postage,,Community Services,,,,Communications *,,,Non-Public School Services *,,,34.660000000000004,,Auxiliary Services,AUX SERV -- MOBILE UNITS
80589,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,MATH/SCIENCE,FEDERAL GDPG FUND - FY ,Teacher Secondary (Middle) ,n/a,,,MATH / SCIENCE,,EDUCATION AND HUMAN RESOURCES,,PROFESSIONAL-INSTRUCTIONAL,70.83215999999999,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
172179,Teacher Compensation,Instruction,School Reported,School,ELL,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ESL,,PROFESSIONAL-INSTRUCTIONAL,6366.96,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
254494,Professional Development,ISPD,School Reported,School,Special Education,Non-Position,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,,,Special Education Instruction,,,0.0,,,CCOACH CERT TCHRACCT,409.51,Instruction - SPED,General Purpose School,
218722,Special Population Program Management & Support,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,TITLE VIB FLOWTHRU ARRA OF ,,,,,ADMIN. SERVICES,,PUPIL SERVICES,,,695.28,"ARRA - IDEA Title VI,B Flow Thru funds",Special Education,
143686,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SEVERE DISABILITIES,GENERAL FUND,Elementary Spec Ed Para ,Regular,,,,,SPECIAL ED. - SEVERE NEEDS,,PARAPROFESSIONAL,899.5699999999998,SPECIAL EDUCATION,,SPECIAL EDUCATION
3391,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Extended Contracts,,,,,Regular Instruction,,,0.0,,,Career Ladder I/Ext Learning,2917.9,Instruction - Regular,General Purpose School,
116885,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Teacher Retirement,REGULAR SALARY,,,,Regular Salary,Teacher Retirement,School ,,"""Guidance, Counseling And Evaluation Services""",Instruction And Curriculum,,2787.2700000000004,Services To Students With Disabilities (Special Education),Idea Part B Formula,
229677,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Principals' Budgets,TEACHER SUBSTITUTE POOL,,Basic Educational Services - District Objective ,Salaries And Wages For Substitute Teachers,School ,,Instruction,,DEGREED SUBSTITUTE,86.69,Basic Educational Services,General Operating Fund,MISCELLANEOUS 
386497,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""",SCHOOL PRINCIPAL,,,Extended Year,Summer School,,School Leadership,Instruction And Curriculum,ASST PRIN MIDDLE SCHOOL,1377.40982991,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED YEAR
426667,Enrichment,Pupil Services & Enrichment,Shared Services,School,Unspecified,NO_LABEL,Contracted Services,Non PreK,PreK-12 Operating,Reclassified Transportation Expenditures/Expense,,,,,,Bus Charge from Transportation Department,School ,,Extracurricular Activities,,,232.92,Undistributed,Campus Activity Funds,
102295,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other Awards and Prizes,,Special Instruction,,,,Awards And Prizes *,,,Bilingual *,,,-2712.08,,Refugee Children School Impact Act,REFUGEE IMPACT 
284751,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,PRIMARY GRADES PROGRAM ,,,,,,,INSTRUCTION,,,584.74,PRIMARY GRADES PROGRAM ,General Fund,
397159,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Teacher Secondary (Middle) ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-379.87,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
312072,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",WORKSHOP PARTICIPANT          ,,,FOOD SERVICE ASSISTANT        ,,,,CHARTER,,FOOD SERVICE                  ,,,80.58,,FOOD SERVICES                 ,
365204,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Purchased Services,,Support Services - Instructional Staff,,,,Purchased Services,,,Instruction And Curriculum Development Services *,,,9824.19,,Special Trust,ITEMS-VARIOUS GRANTS
49031,Extended Time & Tutoring,Instruction,Shared Services,Non-School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,SPECIAL EDUCATION SUMMER SCHOOL,LOCAL,Aide (Summer School),,,,SCHOOL SUPPORT,0.048,,,,1211.94141117,,,
436614,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Contracted Services,Non PreK,PreK-12 Operating,Contracted Maintenance And Repair,,,,,,Contracted Maintenance And Repair - Vehicles,Undistributed,,Facilities Maintenance And Operations,Warehousing,,14109.9,Undistributed,General Operating Fund,
323131,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,NON-CAPITALIZED  EQUIP        ,,,,,,,School ,,FACILITIES ACQ AND CONST      ,,,815.18,,MILLAGE                  ,SCHOOL OPERATING ACCOUNT      
204674,Professional Development,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,SCHOOL-WIDE SCHOOL PGMS FOR TITLE GRANTS,,,,,,,IMPROVEMENT OF INSTR SERV,,,1284.8,Misc,Schoolwide Schools,
367136,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,BONUSES                       ,,,SUB CUSTODIAN                 ,,,,School ,0.0,OPERATION OF PLANT            ,,,143.24,,GENERAL FUND                  ,SCHOOL RECOGNITION            
16692,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,GENERAL EDUCATION,LOCAL,BEHAVORIAL TECHNICIAN,,,,,1.0,,,,43925.7994915,,,
63005,Facilities & Maintenance,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,MISCELLANEOUS,,,,,,,MAINTENANCE AND OPERATING,,,285.21,Misc,General Fund,
208639,Food Services,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,SCHOOL NUTRITION SERVICE,,,,,,,SCHOOL NUTRITION,,,65.02,Misc,School Nutrition Service Fund,
141729,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,TEACHER,Special Instruction,"TCHR, INTERVENTION SPEC AUT/MD",,,Certificated Employees Salaries And Wages,EN OTH CERTIFICATED PERSON,1.0,Multi-handicapped *,,,69705.5309248,,General,SCHOOL BASED MANAGEMENT
